NCR #,Issue,Disc,,
Q321008049-1,3,"METHODS* NCR REF Q321005621, Q321005743, Q321006835 TWO FASTENERS B0207005M5_`02 ARE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010 S/B FASTENER B0207005M5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS DIA HOLE .160"" G&R MIN ED .320"" MIN PITCH 1.050"" SEE ATTACH",,
Q321008060-1,3,"METHODS* NCR REF Q321005621, Q321005743, Q321006835 TWO FASTENERS B0207005M5_`02 ARE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010 S/B FASTENER B0207005M5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS DIA HOLE .160"" G&R MIN ED .320"" MIN PITCH 1.050"" SEE ATTACH",,
Q321008309-1,4,"METHODS* THERE IS A DISCREPANCY BETWEEN DWG 2D AND 3D (CATIA V5) ON INSTALLATION OF FRAMES: FRAME RH UPR FS1081.2 R/F (GD238_`6834_`5) AND FRAME LH FS 1081.2 R/FUSE (GD238_`6817_`11) AND WERE DRILLED AND INSTALLED B/P AS PER DWG 2D ""IF FRAMES ARE LOCATED PER 2D REQUIREMENTS THERE'S NO CONTACT WITH JIGS' LOCATING DETAILS AND A VISSIBLE DISTORTION CAN BE NOTED ON BOTH FRAMES"" COMMON TO HOIST BEAM (GD238_`6927_`3) AND GUSSET HOIST. BEAM FS.1081 (GD238_`6974_`1) B/P MS20615_`5M5 ACTUAL CONDITION HOLES .162"" G&R ALL PARTS MIN ED .300"" IN FRAMES ED .300"" IN BEAM MIN ED .300"" IN GUSSET PITCH BEAM AND FRAMES .650"" TYP. PITCH FRAMES AND GUSSET .850"" TYP NOTE: THESE PARTS WERE ALL INSTALLED ACCORDING TO THE 2D DRAWING AND ARE CORRECTLY POSITIONED. FOR SIDE RH _` GD238_`6833_`9 FRAME LH LWR FS1081.2 R/F _` GD238_`6934_`9 INTERCOSTAL LWR APU INLET _` GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC _` GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET _` GD238_`6931_`3 FITTING, LUG, APU SUPPORT _` GD238_`6930_`3 LUG FTG, APU HOIST, REAR FUSE TAILCONE SEE ATTACHMENT FOR DETAIL",,
Q321008311-1,4,"METHODS* THERE IS A DISCREPANCY BETWEEN DWG 2D AND 3D (CATIA V5) ON INSTALLATION OF FRAMES: FRAME RH UPR FS1081.2 R/F (GD238_`6834_`5) AND FRAME LH FS 1081.2 R/FUSE (GD238_`6817_`11) AND WERE DRILLED AND INSTALLED B/P AS PER DWG 2D ""IF FRAMES ARE LOCATED PER 2D REQUIREMENTS THERE'S NO CONTACT WITH JIGS' LOCATING DETAILS AND A VISSIBLE DISTORTION CAN BE NOTED ON BOTH FRAMES"" COMMON TO HOIST BEAM (GD238_`6927_`3) AND GUSSET HOIST. BEAM FS.1081 (GD238_`6974_`1) B/P MS20615_`5M5 ACTUAL CONDITION HOLES .162"" G&R ALL PARTS MIN ED .300"" IN FRAMES ED .300"" IN BEAM MIN ED .300"" IN GUSSET PITCH BEAM AND FRAMES .650"" TYP. PITCH FRAMES AND GUSSET .850"" TYP NOTE: THESE PARTS WERE ALL INSTALLED ACCORDING TO THE 2D DRAWING AND ARE CORRECTLY POSITIONED. FOR SIDE RH _` GD238_`6833_`9 FRAME LH LWR FS1081.2 R/F _` GD238_`6934_`9 INTERCOSTAL LWR APU INLET _` GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC _` GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET _` GD238_`6931_`3 FITTING, LUG, APU SUPPORT _` GD238_`6930_`3 LUG FTG, APU HOIST, REAR FUSE TAILCONE NOTE: FOR THIS AIRCRAFT THE CONDITION IS AS IN THE 3D DRAWING THE FRAME IS IN CONTACT WITH THE JIG SEE ATTACHMENT FOR DETAIL",,
Q321009222-1,3,"METHODS* NCR REF Q321005621 & Q321005743 TWO FASTENERS B0207005M5_`02 WILL BE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010. S/B FASTENER B0207005M5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC THERE IS NO ACCESS. IT CAUSES FOULING AS THE NCR REF. COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS DIA HOLE .097"" G&R MIN ED .346"" MIN PITCH 1.100"" SEE ATTACH",,
Q321009237-1,3,"METHODS* NCR REF Q321005621 & Q321005743 TWO FASTENERS NAS9307M_`5_`02 WILL BE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010. S/B FASTENER NAS9307M_`5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC THERE IS NO ACCESS. IT CAUSES FOULING AS THE NCR REF. COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS HOLE 1: DIA HOLE .162"" G&R MIN ED .350"" MIN PITCH 1.035"" HOLE 2: DIA HOLE .162"" G&R MIN ED .320"" MIN PITCH 1.035"" SEE ATTACH",,
Q321009514-1,4,"METHODS* THERE IS A DISCREPANCY BETWEEN DWG 2D AND 3D (CATIA V5) ON INSTALLATION OF FRAMES: FRAME RH UPR FS1081.2 R/F (GD238_`6834_`5) AND FRAME LH FS 1081.2 R/FUSE (GD238_`6817_`11) AND WERE DRILLED AND INSTALLED B/P AS PER DWG 2D ""IF FRAMES ARE LOCATED PER 2D REQUIREMENTS THERE'S NO CONTACT WITH JIGS' LOCATING DETAILS AND A VISSIBLE DISTORTION CAN BE NOTED ON BOTH FRAMES"" COMMON TO HOIST BEAM (GD238_`6927_`3) AND GUSSET HOIST. BEAM FS.1081 (GD238_`6974_`1) B/P MS20615_`5M5 ACTUAL CONDITION BETWEEN FRAME (GD238_`6834_`5) AND BEAM (GD238_`6927_`3) HOLES .162"" G&R ALL PARTS FRAME (GD238_`6817_`11) AND BEAM (GD238_`6927_`3) PILOT HOLES .099"" MIN ED .300"" IN FRAMES ED .300"" IN BEAM MIN ED .300"" IN GUSSET PITCH BEAM AND FRAMES .650"" TYP. PITCH FRAMES AND GUSSET .850"" TYP NOTE: THESE PARTS WERE ALL INSTALLED ACCORDING TO THE 2D DRAWING AND ARE CORRECTLY POSITIONED. FOR SIDE RH _` GD238_`6833_`9 FRAME LH LWR FS1081.2 R/F _` GD238_`6934_`9 INTERCOSTAL LWR APU INLET _` GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC _` GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET _` GD238_`6931_`3 FITTING, LUG, APU SUPPORT _` GD238_`6930_`3 LUG FTG, APU HOIST, REAR FUSE TAILCONE NOTE: FOR THIS AIRCRAFT THE CONDITION IS AS IN THE 3D DRAWING THE FRAME IS IN CONTACT WITH THE JIG SEE ATTACHMENT FOR DETAIL",,
Q321009836-1,1,"METHODS* M_`AA REF. RNC Q321003039 IN TAILCONE ASSY, FWD REAR FUSE (GD239_`6800_`9) WERE MEASURED STEPS & GAPS ON APU DOOR ASSY RH (GD239_`6775_`3) & APU DOOR ASSY LH (GD239_`6751_`3) AND THERE ARE STEPS & GAPS OUT OF TOLERANCE. TOLERANCES PER DWG: LONGITUDINAL BTW DOORS: +/_` .045"" LONGITUDINAL: +/_`0.040â LATERAL FWD: +/_` .025"" LATERAL AFT: +/_` .035"" CURRENT CONDITION RH INVOLVED PARTS APU DOOR ASSY RH (GD239_`6775_`3) RH SKIN EXTERNAL FWD (GD239_`8002_`1X02) SKIN ASSY, TAILCONE, AFT (RH) (GD239_`8004_`3X01) CURRENT CONDITION LH INVOLVED PARTS APU DOOR ASSY LH (GD239_`6751_`3) LH SKIN EXTERNAL FWD (GD239_`8001_`1X01) SKIN ASSY LH TAILCONE AFT (GD239_`8003_`3X01) THERE ARE QTY (61) POINTS OUT OF TOLERANCE (GAPS) THERE ARE QTY (15) POINTS OUT OF TOLERANCE (STEPS) NOTE: THE STEPS WERE MEASUREMENT EACH 3 INCHES THE GAPS WERE MEASUREMENT EACH 3 INCHES NOT EXIST MISMATCH BETWEEN LATCH AND FITTING RH DOORS IS COMPLETE AS PER DWG REQUIREMENTS, AND TENSION LATCHES ARE BETWEEN 11 TO 22 LBS.",,
Q321010035-1,3,"METHODS* NCR REF Q321005621 & Q321005743 TWO FASTENERS NAS9307M_`5_`02 WILL BE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010. S/B FASTENER NAS9307M_`5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC THERE IS NO ACCESS. IT CAUSES FOULING AS THE NCR REF. COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS HOLE 1: DIA HOLE .162"" G&R MIN ED .350"" MIN PITCH 1.035"" HOLE 2: DIA HOLE .162"" G&R MIN ED .320"" MIN PITCH 1.035"" SEE ATTACH",,
Q321010390-1,2,"METHODS* (TOOLING) THERE IS A (QTY 1) SPOT IN SKIN ASSY, RH, FWD TAILCONE (GD239_`8002_`3) THK .057â B/P NAS9309ML5_`* COMMON TO SHEAR FIT RH UPPER REAR (GD238_`6950_`7) DISTANCE TO ADJACENT TH .040â WIDTH .030â DEPTH .007â ADJACENT HOLE DIA .164â CSK .246â ED N/A IN SKIN ED .300â FIT MIN PITCH .750â SEE ATTACHMENT FOR DETAILS",,
Q321010496-2,1,"METHODS* M_`AA REF. RNC Q321003039 IN TAILCONE ASSY, FWD REAR FUSE (GD239_`6800_`9) WERE MEASURED STEPS & GAPS ON APU DOOR ASSY RH (GD239_`6775_`3) & APU DOOR ASSY LH (GD239_`6751_`3) AND THERE ARE STEPS & GAPS OUT OF TOLERANCE. TOLERANCES PER DWG: LONGITUDINAL BTW DOORS: +/_` .045"" LONGITUDINAL: +/_`0.040â LATERAL FWD: +/_` .025"" LATERAL AFT: +/_` .035"" CURRENT CONDITION RH INVOLVED PARTS APU DOOR ASSY RH (GD239_`6775_`3) RH SKIN EXTERNAL FWD (GD239_`8002_`1X02) SKIN ASSY, TAILCONE, AFT (RH) (GD239_`8004_`3X01) CURRENT CONDITION LH INVOLVED PARTS APU DOOR ASSY LH (GD239_`6751_`3) LH SKIN EXTERNAL FWD (GD239_`8001_`1X01) SKIN ASSY LH TAILCONE AFT (GD239_`8003_`3X01) THERE ARE QTY (35) POINTS OUT OF TOLERANCE (GAPS) THERE ARE QTY (20) POINTS OUT OF TOLERANCE (STEPS) NOTE: THE STEPS WERE MEASUREMENT EACH 3 INCHES THE GAPS WERE MEASUREMENT EACH 3 INCHES NOT EXIST MISMATCH BETWEEN LATCH AND FITTING RH DOORS IS COMPLETE AS PER DWG REQUIREMENTS, AND TENSION LATCHES ARE BETWEEN 11 TO 22 LBS.",,
Q321011041-1,4,"METHODS* THERE IS A DISCREPANCY BETWEEN DWG 2D AND 3D (CATIA V5) ON INSTALLATION OF FRAMES: FRAME RH UPR FS1081.2 R/F (GD238_`6834_`5) AND FRAME LH FS 1081.2 R/FUSE (GD238_`6817_`11) AND WERE DRILLED AND INSTALLED B/P AS PER DWG 2D ""IF FRAMES ARE LOCATED PER 2D REQUIREMENTS THERE'S NO CONTACT WITH JIGS' LOCATING DETAILS AND A VISSIBLE DISTORTION CAN BE NOTED ON BOTH FRAMES"" COMMON TO HOIST BEAM (GD238_`6927_`3) AND GUSSET HOIST. BEAM FS.1081 (GD238_`6974_`1) B/P MS20615_`5M5 ACTUAL CONDITION BETWEEN FRAME (GD238_`6834_`5) AND BEAM (GD238_`6927_`3) HOLES .162"" G&R ALL PARTS FRAME (GD238_`6817_`11) AND BEAM (GD238_`6927_`3) PILOT HOLES .099"" MIN ED .300"" IN FRAMES ED .300"" IN BEAM MIN ED .300"" IN GUSSET PITCH BEAM AND FRAMES .650"" TYP. PITCH FRAMES AND GUSSET .850"" TYP NOTE: THESE PARTS WERE ALL INSTALLED ACCORDING TO THE 2D DRAWING AND ARE CORRECTLY POSITIONED. FOR SIDE RH _` GD238_`6833_`9 FRAME LH LWR FS1081.2 R/F _` GD238_`6934_`9 INTERCOSTAL LWR APU INLET _` GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC _` GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET _` GD238_`6931_`3 FITTING, LUG, APU SUPPORT _` GD238_`6930_`3 LUG FTG, APU HOIST, REAR FUSE TAILCONE NOTE: FOR THIS AIRCRAFT THE CONDITION IS AS IN THE 3D DRAWING THE FRAME IS IN CONTACT WITH THE JIG SEE ATTACHMENT FOR DETAIL",,
Q321011042-1,3,"METHODS* NCR REF Q321005621 & Q321005743 TWO FASTENERS B0207005M5_`02 WILL BE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010. S/B FASTENER B0207005M5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC THERE IS NO ACCESS. IT CAUSES FOULING AS THE NCR REF. COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS DIA HOLE .097"" G&R MIN ED .346"" MIN PITCH 1.100"" SEE ATTACH",,
Q321011111-1,3,"METHODS* NCR REF Q321005621 & Q321005743 TWO FASTENERS NAS9307M_`5_`02 WILL BE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010. S/B FASTENER NAS9307M_`5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC THERE IS NO ACCESS. IT CAUSES FOULING AS THE NCR REF. COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS HOLE 1: DIA HOLE .162"" G&R MIN ED .350"" MIN PITCH 1.035"" HOLE 2: DIA HOLE .162"" G&R MIN ED .320"" MIN PITCH 1.035"" SEE ATTACH",,
Q321011112-1,3,"METHODS* NCR REF Q321005621 & Q321005743 TWO FASTENERS NAS9307M_`5_`02 WILL BE INSTALLED ON THE INLET GA452_`0057_`1 FASTENERS ARE NOT ACCEPTED AS PER BAPS 151_`010. S/B FASTENER NAS9307M_`5_`03 AS PER DWG BUT IT CREATES INTERFERENCE WITH GD238_`6962_`3 CLEAT.FS.1081.1093.INTERC THERE IS NO ACCESS. IT CAUSES FOULING AS THE NCR REF. COMMON PARTS HOLE 1: GD238_`8039_`1 GUSSET GD238_`6933_`15 INTERCOSTAL.UPR.APU.INLET COMMON PARTS HOLE 2: GD238_`8039_`1 GUSSET GD238_`6934_`9 INTERCOSTAL LWR APU INLET DETAILS HOLE 1: DIA HOLE .162"" G&R MIN ED .350"" MIN PITCH 1.035"" HOLE 2: DIA HOLE .162"" G&R MIN ED .320"" MIN PITCH 1.035"" SEE ATTACH",,
